GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
omf-order-service,com.omforderservice.controller,JwtAuthenticationController,0,23,0,0,0,8,0,3,0,3
omf-order-service,com.omforderservice.controller,OrderController,9,129,0,6,4,41,1,10,1,7
omf-order-service,com.omforderservice.exception,InvalidTokenException,11,4,0,0,5,2,2,1,2,1
omf-order-service,com.omforderservice.exception,OrderException,3,4,0,0,2,2,1,1,1,1
omf-order-service,com.omforderservice.exception,UnauthorizedException,3,4,0,0,2,2,1,1,1,1
omf-order-service,com.omforderservice.exception,CustomGlobalExceptionHandler,9,17,0,0,2,4,1,3,1,3
omf-order-service,com.omforderservice.config,RestTemplateClient,0,7,0,0,0,2,0,2,0,2
omf-order-service,com.omforderservice.config,SwaggerConfiguration,0,20,0,0,0,9,0,3,0,3
omf-order-service,com.omforderservice.config,JwtFilter,8,58,2,4,2,15,2,3,0,2
omf-order-service,com.omforderservice.authenticationservice,JwtAuthenticationService,0,58,0,4,0,10,0,5,0,3
omf-order-service,com.omforderservice.service,OrderServiceImpl,64,442,4,30,16,86,5,20,1,7
omf-order-service,com.omforderservice.service,ItemServiceImpl,0,29,0,0,0,8,0,5,0,5
omf-order-service,com.omforderservice.model,Order,8,49,0,0,4,20,2,12,2,12
omf-order-service,com.omforderservice.model,OrderedItem,10,53,0,0,4,22,3,11,3,11
omf-order-service,com.omforderservice.dto,OrderUpdateResponseDto,0,56,0,0,0,23,0,12,0,12
omf-order-service,com.omforderservice.dto,OrderRequestDto,0,24,0,0,0,10,0,7,0,7
omf-order-service,com.omforderservice.dto,ItemFetchDto,3,53,0,0,1,23,1,11,1,11
omf-order-service,com.omforderservice.dto,OrderedItemsDto,0,26,0,0,0,11,0,6,0,6
omf-order-service,com.omforderservice.dto,UserDto,0,17,0,0,0,7,0,5,0,5
omf-order-service,com.omforderservice.dto,RestaurantFetchDto,15,51,0,0,5,23,5,9,5,9
omf-order-service,com.omforderservice.dto,MenuFetchDto,9,37,0,0,3,16,3,7,3,7
omf-order-service,com.omforderservice.dto,OrderUpdateDto,0,46,0,0,0,19,0,10,0,10
omf-order-service,com.omforderservice,OmfOrderServiceApplication,5,22,0,0,2,5,1,2,1,2
